,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
0,USA,105820390,1151253.0,103485147,1183990,2261,316065.0,3439.0,1169976712.0,3494499.0,334805269.0,North America
1,India,44693506,530795.0,44157685,5026,N/A,31773.0,377.0,920012934.0,654054.0,1406631776.0,Asia
2,France,39690610,165314.0,39447509,77787,869,605183.0,2521.0,271490188.0,4139547.0,65584518.0,Europe
3,Germany,38291497,169579.0,37931300,190618,N/A,456484.0,2022.0,122332384.0,1458359.0,83883596.0,Europe
4,Brazil,37145514,699634.0,36249161,196719,N/A,172486.0,3249.0,63776166.0,296146.0,215353593.0,South America
5,Japan,33361299,73439.0,21706932,11580928,96,265648.0,585.0,96671539.0,769771.0,125584838.0,Asia
6,S. Korea,30681228,34155.0,30468756,178317,140,597726.0,665.0,15804065.0,307892.0,51329899.0,Asia
7,Italy,25651205,188750.0,25320467,141988,104,425656.0,3132.0,269127054.0,4465893.0,60262770.0,Europe
8,UK,24423396,208458.0,24147123,67815,N/A,356557.0,3043.0,522526476.0,7628357.0,68497907.0,Europe
9,Russia,22480857,396769.0,21829610,254478,N/A,154183.0,2721.0,273400000.0,1875095.0,145805947.0,Europe
10,Turkey,17042722,101492.0,N/A,N/A,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia
11,Spain,13783163,119872.0,13632061,31230,231,295022.0,2566.0,471036328.0,10082298.0,46719142.0,Europe
12,Vietnam,11527110,43186.0,10614841,869083,3,116490.0,436.0,85826548.0,867342.0,98953541.0,Asia
13,Australia,11385534,19459.0,11332576,33499,27,436750.0,746.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
14,Taiwan,10214898,18697.0,9993620,202581,,427606.0,783.0,30742304.0,1286903.0,23888595.0,Asia
15,Argentina,10044957,130472.0,9912836,1649,363,218320.0,2836.0,35716069.0,776264.0,46010234.0,South America
16,Netherlands,8605996,22992.0,8565563,17441,53,500016.0,1336.0,25984435.0,1509718.0,17211447.0,Europe
17,Iran,7575927,144993.0,7340279,90655,407,88069.0,1686.0,55353767.0,643478.0,86022837.0,Asia
18,Mexico,7504385,333303.0,6738172,432910,N/A,57040.0,2533.0,19682803.0,149608.0,131562772.0,North America
19,Indonesia,6740727,160968.0,6576058,3701,N/A,24149.0,577.0,114158919.0,408975.0,279134505.0,Asia
20,Poland,6469381,119109.0,5335940,1014332,696,171421.0,3156.0,38420731.0,1018043.0,37739785.0,Europe
21,Colombia,6361293,142652.0,6184855,33786,342,123490.0,2769.0,36951507.0,717327.0,51512762.0,South America
22,Austria,5995336,22025.0,5924389,48922,78,661247.0,2429.0,211273524.0,23302116.0,9066710.0,Europe
23,Greece,5910103,36372.0,5849560,24171,115,572871.0,3526.0,102228365.0,9909078.0,10316637.0,Europe
24,Portugal,5571882,26302.0,5540406,5174,61,549464.0,2594.0,46012446.0,4537462.0,10140570.0,Europe
25,Ukraine,5427360,111457.0,5277982,37921,,125656.0,2580.0,32603805.0,754855.0,43192122.0,Europe
26,Chile,5223478,64365.0,5146862,12251,76,271347.0,3344.0,48741179.0,2531984.0,19250195.0,South America
27,Malaysia,5045192,36967.0,4998845,9380,5,152050.0,1114.0,68309333.0,2058684.0,33181072.0,Asia
28,Israel,4808152,12349.0,4781252,14551,57,515564.0,1324.0,41373364.0,4436346.0,9326000.0,Asia
29,DPRK,4772813,74.0,4772739,0,,183636.0,3.0,,,25990679.0,Asia
30,Belgium,4757448,33885.0,4673413,50150,43,407725.0,2904.0,36842747.0,3157514.0,11668278.0,Europe
31,Thailand,4728304,33924.0,4692636,1744,N/A,67472.0,484.0,17270775.0,246450.0,70078203.0,Asia
32,Czechia,4625116,42549.0,4572821,9746,44,430773.0,3963.0,57068342.0,5315217.0,10736784.0,Europe
33,Canada,4609277,51624.0,4524019,33634,99,120069.0,1345.0,66343123.0,1728207.0,38388419.0,North America
34,Peru,4488920,219627.0,4267051,2242,39,133265.0,6520.0,38181139.0,1133503.0,33684208.0,South America
35,Switzerland,4394296,14452.0,4373995,5849,39,500852.0,1647.0,23833472.0,2716487.0,8773637.0,Europe
36,Philippines,4078660,66256.0,4003117,9287,162,36252.0,589.0,34727426.0,308664.0,112508994.0,Asia
37,South Africa,4069578,102595.0,3912506,54477,192,66982.0,1689.0,26795090.0,441027.0,60756135.0,Africa
38,Romania,3352356,67773.0,3272569,12014,117,176149.0,3561.0,26825878.0,1409564.0,19031335.0,Europe
39,Denmark,3176571,8330.0,3167081,1160,19,544404.0,1428.0,129218976.0,22145687.0,5834950.0,Europe
40,Hong Kong,2884172,13472.0,2866796,3904,28,379282.0,1772.0,76127725.0,10011143.0,7604299.0,Asia
41,Sweden,2700231,23785.0,2673259,3187,7,264237.0,2328.0,19493349.0,1907565.0,10218971.0,Europe
42,Serbia,2506862,17914.0,2473794,15154,16,289710.0,2070.0,12526786.0,1447679.0,8653016.0,Europe
43,Iraq,2465545,25375.0,2439497,673,21,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia
44,New Zealand,2239800,3944.0,2225733,10123,,457270.0,805.0,7768604.0,1586011.0,4898203.0,Australia/Oceania
45,Singapore,2234996,1722.0,2149583,83691,1,376037.0,290.0,24756666.0,4165302.0,5943546.0,Asia
46,Hungary,2197820,48775.0,2144382,4663,8,228790.0,5077.0,11394556.0,1186160.0,9606259.0,Europe
47,Bangladesh,2037947,29445.0,1998448,10054,N/A,12139.0,175.0,15254399.0,90862.0,167885689.0,Asia
48,Slovakia,1864529,21055.0,1842185,1289,25,341477.0,3856.0,7411881.0,1357439.0,5460193.0,Europe
49,Georgia,1830021,16986.0,1776548,36487,,461109.0,4280.0,16920079.0,4263340.0,3968738.0,Asia
50,Jordan,1746997,14122.0,1731007,1868,59,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia
51,Ireland,1704502,8708.0,1693890,1904,8,339529.0,1735.0,13046725.0,2598846.0,5020199.0,Europe
52,Pakistan,1578047,30645.0,1538689,8713,15,6876.0,134.0,30570862.0,133213.0,229488994.0,Asia
53,Norway,1479995,5213.0,1473874,908,20,268535.0,946.0,11002430.0,1996315.0,5511370.0,Europe
54,Finland,1464294,8990.0,1453053,2251,21,263601.0,1618.0,12061906.0,2171376.0,5554960.0,Europe
55,Kazakhstan,1408973,13847.0,1383020,12106,24,73365.0,721.0,11575012.0,602707.0,19205043.0,Asia
56,Slovenia,1335067,7084.0,1322320,5663,5,642466.0,3409.0,2843324.0,1368276.0,2078034.0,Europe
57,Lithuania,1310395,9611.0,1294457,6327,4,492314.0,3611.0,10398636.0,3906753.0,2661708.0,Europe
58,Bulgaria,1298317,38236.0,1257229,2852,29,189685.0,5586.0,11093386.0,1620751.0,6844597.0,Europe
59,Morocco,1272526,16296.0,1256151,79,3,33689.0,431.0,12995267.0,344038.0,37772756.0,Africa
60,Croatia,1269687,18006.0,1251200,481,8,312786.0,4436.0,5530633.0,1362464.0,4059286.0,Europe
61,Guatemala,1240380,20183.0,1219210,987,5,66744.0,1086.0,7024949.0,378010.0,18584039.0,North America
62,Lebanon,1233535,10851.0,1087587,135097,74,184527.0,1623.0,4795578.0,717380.0,6684849.0,Asia
63,Costa Rica,1214651,9266.0,860711,344674,52,234382.0,1788.0,4659757.0,899158.0,5182354.0,North America
64,Bolivia,1194973,22368.0,1162185,10420,220,99642.0,1865.0,2705422.0,225590.0,11992656.0,South America
65,Tunisia,1151333,29345.0,N/A,N/A,44,95573.0,2436.0,5003956.0,415381.0,12046656.0,Africa
66,Cuba,1112697,8530.0,1104078,89,2,98420.0,754.0,14324663.0,1267036.0,11305652.0,North America
67,Ecuador,1057608,36015.0,1020563,1030,759,58388.0,1988.0,3082403.0,170173.0,18113361.0,South America
68,UAE,1054423,2349.0,1036595,15479,,104587.0,233.0,199534914.0,19791626.0,10081785.0,Asia
69,Uruguay,1035046,7619.0,1026854,573,18,296064.0,2179.0,6114822.0,1749083.0,3496016.0,South America
70,Panama,1032237,8611.0,1022929,697,16,232122.0,1936.0,7563087.0,1700730.0,4446964.0,North America
71,Mongolia,1007907,2179.0,1005718,10,192,298367.0,645.0,4030048.0,1193000.0,3378078.0,Asia
72,Nepal,1001178,12020.0,989138,20,,33124.0,398.0,6016033.0,199038.0,30225582.0,Asia
73,Belarus,994037,7118.0,985592,1327,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe
74,Latvia,976450,6260.0,969827,363,13,528143.0,3386.0,7867703.0,4255488.0,1848837.0,Europe
75,Saudi Arabia,831115,9623.0,817732,3760,52,23186.0,268.0,45207637.0,1261201.0,35844909.0,Asia
76,Azerbaijan,829115,10151.0,818715,249,,80495.0,986.0,7545906.0,732598.0,10300205.0,Asia
77,Paraguay,808643,19881.0,N/A,N/A,7,110684.0,2721.0,2657506.0,363751.0,7305843.0,South America
78,Bahrain,713636,1556.0,709149,2931,6,400024.0,872.0,10764003.0,6033691.0,1783983.0,Asia
79,Sri Lanka,672051,16831.0,655209,11,,31148.0,780.0,6486117.0,300619.0,21575842.0,Asia
80,Kuwait,664402,2570.0,660237,1595,,151679.0,587.0,8455743.0,1930391.0,4380326.0,Asia
81,Dominican Republic,660848,4384.0,644785,11679,4,59771.0,397.0,3740928.0,338350.0,11056370.0,North America
82,Cyprus,652386,1335.0,645696,5355,60,533262.0,1091.0,9640118.0,7879860.0,1223387.0,Asia
83,Myanmar,633986,19490.0,614463,33,,11480.0,353.0,10122384.0,183286.0,55227143.0,Asia
84,Palestine,621008,5404.0,615445,159,17,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia
